gato,cat,Felino doméstico que ronronea,Domestic feline that purrs,animales,beginner
perro,dog,El mejor amigo del hombre,Man's best friend,animales,beginner
pez,fish,Vive bajo el agua y tiene aletas,Lives underwater and has fins,animales,beginner
oso,bear,Gran mamífero que hiberna en invierno,Large mammal that hibernates in winter,animales,beginner
leon,lion,El rey de la selva,The king of the jungle,animales,beginner
vaca,cow,Nos da leche todos los días,Gives us milk every day,animales,beginner
rana,frog,Salta y dice "croac",Jumps and says "ribbit",animales,beginner
lobo,wolf,Aúlla a la luna por la noche,Howls at the moon at night,animales,beginner
pato,duck,Ave que nada y dice "cuac",Bird that swims and says "quack",animales,beginner
rata,rat,Roedor pequeño de cola larga,Small rodent with a long tail,animales,beginner
mono,monkey,Primate que trepa árboles con agilidad,Primate that climbs trees with agility,animales,beginner
toro,bull,Animal bravo de los rodeos,Fierce animal of the rodeos,animales,beginner
burro,donkey,Animal de carga muy terco,Very stubborn pack animal,animales,beginner
cerdo,pig,Animal rosado que vive en la granja,Pink animal that lives on the farm,animales,beginner
cabra,goat,Trepa montañas y come de todo,Climbs mountains and eats everything,animales,beginner
tigre,tiger,Felino con rayas naranjas y negras,Feline with orange and black stripes,animales,beginner
pajaro,bird,Tiene plumas y vuela por el cielo,Has feathers and flies through the sky,animales,beginner
oveja,sheep,Nos da lana para la ropa,Gives us wool for clothing,animales,beginner
pollo,chicken,Ave de corral que ponemos en la sopa,Farmyard bird we put in soup,animales,beginner
caballo,horse,Se monta y galopa por el campo,You ride it and it gallops through the field,animales,beginner
conejo,rabbit,Tiene orejas largas y salta mucho,Has long ears and jumps a lot,animales,beginner
raton,mouse,Pequeño roedor que le gusta el queso,Small rodent that likes cheese,animales,beginner
abeja,bee,Insecto que hace miel y zumba,Insect that makes honey and buzzes,animales,beginner
mosca,fly,Insecto molesto que zumba en verano,Annoying insect that buzzes in summer,animales,beginner
buho,owl,Ave nocturna con grandes ojos,Nocturnal bird with big eyes,animales,advanced
ciervo,deer,Mamífero del bosque con grandes astas,Forest mammal with large antlers,animales,advanced
zorro,fox,Animal astuto de cola peluda,Cunning animal with a bushy tail,animales,advanced
aguila,eagle,Ave rapaz que vuela muy alto,Bird of prey that flies very high,animales,advanced
pulpo,octopus,Tiene ocho tentáculos y vive en el mar,Has eight tentacles and lives in the sea,animales,advanced
ballena,whale,El animal más grande del océano,The largest animal in the ocean,animales,advanced
delfin,dolphin,Mamífero marino muy inteligente,Very intelligent marine mammal,animales,advanced
tiburon,shark,Depredador del mar con muchos dientes,Sea predator with many teeth,animales,advanced
cuervo,raven,Ave negra asociada con el misterio,Black bird associated with mystery,animales,advanced
halcon,falcon,Ave rapaz veloz que caza en picada,Fast bird of prey that hunts in a dive,animales,advanced
medusa,jellyfish,Criatura marina transparente que pica,Transparent sea creature that stings,animales,advanced
grillo,cricket,Insecto que canta de noche en el campo,Insect that sings at night in the field,animales,advanced
hormiga,ant,Insecto diminuto que trabaja en equipo,Tiny insect that works as a team,animales,advanced
lagarto,lizard,Reptil que toma el sol sobre las rocas,Reptile that sunbathes on rocks,animales,advanced
tortuga,turtle,Reptil lento con caparazón duro,Slow reptile with a hard shell,animales,advanced
jabali,boar,Cerdo salvaje con colmillos curvos,Wild pig with curved tusks,animales,advanced
gaviota,seagull,Ave blanca que vuela sobre la playa,White bird that flies over the beach,animales,advanced
pantera,panther,Felino negro sigiloso de la selva,Stealthy black feline of the jungle,animales,advanced
arbol,tree,Planta grande con tronco y ramas,Large plant with a trunk and branches,naturaleza,beginner
flor,flower,Planta colorida que huele bien,Colorful plant that smells nice,naturaleza,beginner
rio,river,Corriente de agua que va al mar,Stream of water that flows to the sea,naturaleza,beginner
mar,sea,Gran masa de agua salada,Large body of salt water,naturaleza,beginner
lago,lake,Masa de agua rodeada de tierra,Body of water surrounded by land,naturaleza,beginner
sol,sun,Estrella que nos da luz y calor,Star that gives us light and warmth,naturaleza,beginner
luna,moon,Brilla en el cielo por la noche,Shines in the sky at night,naturaleza,beginner
roca,rock,Piedra grande y dura del suelo,Large hard stone from the ground,naturaleza,beginner
hoja,leaf,Parte verde de una planta,Green part of a plant,naturaleza,beginner
rosa,rose,Flor roja símbolo del amor,Red flower symbol of love,naturaleza,beginner
playa,beach,Arena junto al mar para descansar,Sand by the sea for relaxing,naturaleza,beginner
campo,field,Terreno abierto con hierba verde,Open terrain with green grass,naturaleza,beginner
tierra,earth,El suelo donde crecen las plantas,The ground where plants grow,naturaleza,beginner
arena,sand,Granos finos que hay en la playa,Fine grains found at the beach,naturaleza,beginner
cielo,sky,Lo azul que vemos al mirar arriba,The blue we see when looking up,naturaleza,beginner
bosque,forest,Lugar lleno de árboles y vida,Place full of trees and life,naturaleza,beginner
hierba,grass,Planta verde que cubre el suelo,Green plant that covers the ground,naturaleza,beginner
isla,island,Tierra rodeada de agua por todos lados,Land surrounded by water on all sides,naturaleza,beginner
monte,mount,Elevación natural del terreno,Natural elevation of the terrain,naturaleza,beginner
selva,jungle,Bosque tropical denso y húmedo,Dense and humid tropical forest,naturaleza,beginner
semilla,seed,De aquí nace una nueva planta,A new plant is born from this,naturaleza,beginner
raiz,root,Parte de la planta bajo la tierra,Part of the plant under the ground,naturaleza,beginner
tronco,trunk,Parte gruesa y central del árbol,Thick central part of the tree,naturaleza,beginner
costa,coast,Zona donde la tierra se encuentra con el mar,Zone where land meets the sea,naturaleza,beginner
valle,valley,Terreno bajo entre dos montañas,Low terrain between two mountains,naturaleza,beginner
cueva,cave,Cavidad natural en la roca,Natural cavity in the rock,naturaleza,advanced
volcan,volcano,Montaña que puede hacer erupción,Mountain that can erupt,naturaleza,advanced
cascada,waterfall,Agua que cae desde una altura,Water that falls from a height,naturaleza,advanced
arroyo,stream,Pequeño río que corre entre piedras,Small river that runs between stones,naturaleza,advanced
colina,hill,Elevación suave del terreno,Gentle elevation of the terrain,naturaleza,advanced
musgo,moss,Planta verde que crece sobre las rocas,Green plant that grows on rocks,naturaleza,advanced
coral,coral,Organismo marino que forma arrecifes,Marine organism that forms reefs,naturaleza,advanced
pantano,swamp,Terreno húmedo con agua estancada,Wet terrain with stagnant water,naturaleza,advanced
acantil,cliff,Borde rocoso alto junto al mar,High rocky edge by the sea,naturaleza,advanced
pradera,prairie,Llanura extensa cubierta de pasto,Extensive plain covered with grass,naturaleza,advanced
desierto,desert,Lugar árido con mucha arena y poco agua,Arid place with lots of sand and little water,naturaleza,advanced
glaciar,glacier,Masa enorme de hielo que se mueve lento,Huge mass of ice that moves slowly,naturaleza,advanced
manglar,mangrove,Bosque costero con raíces en el agua,Coastal forest with roots in water,naturaleza,advanced
helecho,fern,Planta antigua con hojas en forma de pluma,Ancient plant with feather-shaped leaves,naturaleza,advanced
liquen,lichen,Organismo que crece en rocas y troncos,Organism that grows on rocks and trunks,naturaleza,advanced
cumbre,summit,El punto más alto de una montaña,The highest point of a mountain,naturaleza,advanced
meseta,plateau,Terreno elevado y plano en la cima,Elevated flat terrain at the top,naturaleza,advanced
lluvia,rain,Agua que cae de las nubes,Water that falls from the clouds,clima,beginner
nieve,snow,Cristales blancos que caen en invierno,White crystals that fall in winter,clima,beginner
viento,wind,Aire que se mueve y sopla fuerte,Air that moves and blows hard,clima,beginner
nube,cloud,Masa blanca que flota en el cielo,White mass that floats in the sky,clima,beginner
frio,cold,Temperatura baja que te hace temblar,Low temperature that makes you shiver,clima,beginner
calor,heat,Sensación de temperatura alta en verano,Feeling of high temperature in summer,clima,beginner
hielo,ice,Agua congelada y muy fría,Frozen and very cold water,clima,beginner
rayo,lightning,Descarga eléctrica durante una tormenta,Electrical discharge during a storm,clima,beginner
trueno,thunder,Sonido fuerte después del relámpago,Loud sound after lightning,clima,beginner
niebla,fog,Nube baja que no deja ver bien,Low cloud that blocks your vision,clima,beginner
tormenta,storm,Lluvia fuerte con rayos y truenos,Heavy rain with lightning and thunder,clima,beginner
seco,dry,Sin humedad ni agua,Without moisture or water,clima,beginner
humedo,humid,Aire con mucha agua invisible,Air with lots of invisible water,clima,beginner
brisa,breeze,Viento suave y agradable,Soft and pleasant wind,clima,beginner
helada,frost,Capa fina de hielo en las mañanas frías,Thin layer of ice on cold mornings,clima,beginner
sombra,shade,Zona oscura donde no llega el sol,Dark area where the sun doesn't reach,clima,beginner
ola,wave,Movimiento del agua en el mar,Movement of water in the sea,clima,beginner
clima,climate,Condiciones del tiempo en una región,Weather conditions in a region,clima,beginner
verano,summer,Estación más calurosa del año,Hottest season of the year,clima,beginner
otono,autumn,Estación en que caen las hojas,Season when leaves fall,clima,beginner
nevada,snowfall,Cuando cae mucha nieve del cielo,When lots of snow falls from the sky,clima,beginner
granizo,hail,Bolas de hielo que caen del cielo,Balls of ice that fall from the sky,clima,advanced
sequia,drought,Período largo sin lluvia,Long period without rain,clima,advanced
ciclon,cyclone,Tormenta giratoria muy poderosa,Very powerful rotating storm,clima,advanced
tsunami,tsunami,Ola gigante causada por un terremoto,Giant wave caused by an earthquake,clima,advanced
monzon,monsoon,Viento estacional que trae lluvias,Seasonal wind that brings rains,clima,advanced
bruma,mist,Niebla ligera que aparece por la mañana,Light fog that appears in the morning,clima,advanced
rocio,dew,Gotas de agua que aparecen al amanecer,Water drops that appear at dawn,clima,advanced
escarcha,frost,Cristales de hielo sobre las superficies,Ice crystals on surfaces,clima,advanced
tornado,tornado,Columna de viento que gira violentamente,Column of wind that spins violently,clima,advanced
huracan,hurricane,Tormenta tropical con vientos extremos,Tropical storm with extreme winds,clima,advanced
relampag,lightning,Destello de luz en el cielo tormentoso,Flash of light in the stormy sky,clima,advanced
ventisca,blizzard,Tormenta de nieve con vientos fuertes,Snowstorm with strong winds,clima,advanced
aurora,aurora,Luces de colores en el cielo polar,Colorful lights in the polar sky,clima,advanced
marejada,surge,Subida anormal del nivel del mar,Abnormal rise in sea level,clima,advanced
llovizna,drizzle,Lluvia muy fina y suave,Very fine and gentle rain,clima,advanced
neblina,haze,Bruma ligera que reduce la visibilidad,Light mist that reduces visibility,clima,advanced
rafaga,gust,Golpe repentino y fuerte de viento,Sudden strong burst of wind,clima,advanced
tempestad,tempest,Tormenta violenta con mucha fuerza,Violent storm with great force,clima,advanced
bochorno,muggy,Calor sofocante con mucha humedad,Suffocating heat with high humidity,clima,advanced
celaje,skyscape,Aspecto del cielo con nubes coloridas,Appearance of the sky with colorful clouds,clima,advanced
