avispa,wasp,Insecto que pica y tiene rayas amarillas,Stinging insect with yellow stripes,insectos,beginner
mosquito,gnat,Insecto pequeño que vuela en enjambres,Small insect that flies in swarms,insectos,beginner
larva,grub,Fase joven de un insecto antes de crecer,Young stage of an insect before growing,insectos,beginner
arana,spider,Arácnido que teje telarañas para cazar,Arachnid that weaves webs to hunt,insectos,beginner
pulga,flea,Insecto diminuto que salta y pica,Tiny insect that jumps and bites,insectos,beginner
polilla,moth,Insecto nocturno atraído por la luz,Nocturnal insect attracted to light,insectos,beginner
cucarach,cockroach,Insecto que corre rápido en la cocina,Insect that runs fast in the kitchen,insectos,beginner
gusano,worm,Criatura larga y blanda sin patas,Long soft creature without legs,insectos,beginner
oruga,larva,Larva que se convierte en mariposa,Larva that becomes a butterfly,insectos,beginner
cigarra,cicada,Insecto que canta fuerte en verano,Insect that sings loudly in summer,insectos,beginner
mariquit,ladybug,Insecto rojo con puntos negros,Red insect with black spots,insectos,beginner
luciernag,firefly,Insecto que brilla en la oscuridad,Insect that glows in the dark,insectos,advanced
libelula,dragonfly,Insecto con alas transparentes cerca del agua,Insect with transparent wings near water,insectos,advanced
escarab,beetle,Insecto con caparazón duro y brillante,Insect with a hard shiny shell,insectos,advanced
mantis,mantis,Insecto que reza con sus patas delanteras,Insect that prays with its front legs,insectos,advanced
garrapata,tick,Parásito que se pega a la piel,Parasite that attaches to skin,insectos,advanced
tabano,horsefly,Mosca grande que pica a los caballos,Large fly that bites horses,insectos,advanced
piojo,louse,Parásito pequeño que vive en el cabello,Small parasite that lives in hair,insectos,advanced
chinche,bedbug,Insecto plano que pica mientras duermes,Flat insect that bites while you sleep,insectos,advanced
tijereta,earwig,Insecto con pinzas en la cola,Insect with pincers on its tail,insectos,advanced
acaros,mites,Arácnidos microscópicos del polvo,Microscopic arachnids in dust,insectos,advanced
termita,termite,Insecto que devora la madera,Insect that devours wood,insectos,advanced
saltamon,locust,Insecto verde que salta por el pasto,Green insect that jumps through grass,insectos,advanced
avispero,hornets,Nido de insectos que pican muy fuerte,Nest of insects that sting very hard,insectos,advanced
zancudo,mosquito,Insecto que zumba y chupa sangre,Insect that buzzes and sucks blood,insectos,advanced
cienpies,centipede,Criatura con muchas patas que se arrastra,Creature with many legs that crawls,insectos,advanced
escorpio,scorpion,Arácnido con cola venenosa y pinzas,Arachnid with venomous tail and pincers,insectos,advanced
cangrejo,crab,Crustáceo con pinzas que camina de lado,Crustacean with claws that walks sideways,marinos,beginner
estrella,starfish,Criatura marina con forma de estrella,Sea creature shaped like a star,marinos,beginner
foca,seal,Mamífero marino que descansa en las rocas,Marine mammal that rests on rocks,marinos,beginner
morsa,walrus,Mamífero marino grande con colmillos,Large marine mammal with tusks,marinos,beginner
almeja,clam,Molusco con dos conchas que vive en la arena,Mollusk with two shells living in sand,marinos,beginner
calamar,squid,Criatura marina con diez tentáculos,Sea creature with ten tentacles,marinos,beginner
camaron,shrimp,Crustáceo pequeño rosado muy sabroso,Small pink crustacean very tasty,marinos,beginner
sardina,sardine,Pez pequeño plateado que nada en grupo,Small silver fish that swims in groups,marinos,beginner
salmon,salmon,Pez rosado que nada río arriba,Pink fish that swims upstream,marinos,beginner
trucha,trout,Pez de río con manchas en el cuerpo,River fish with spots on its body,marinos,beginner
atun,tuna,Pez grande y rápido del océano,Large fast fish of the ocean,marinos,beginner
ostra,oyster,Molusco que puede crear perlas,Mollusk that can create pearls,marinos,beginner
caracol,snail,Molusco lento con concha en espiral,Slow mollusk with a spiral shell,marinos,beginner
langosta,lobster,Crustáceo grande con pinzas enormes,Large crustacean with huge claws,marinos,advanced
erizo,urchin,Criatura marina redonda con espinas,Round sea creature with spines,marinos,advanced
raya,ray,Pez plano con cola larga y venenosa,Flat fish with a long venomous tail,marinos,advanced
anguila,eel,Pez largo como una serpiente marina,Long fish like a sea snake,marinos,advanced
narval,narwhal,Ballena ártica con un cuerno largo,Arctic whale with a long horn,marinos,advanced
manati,manatee,Mamífero marino herbívoro y tranquilo,Herbivorous and calm marine mammal,marinos,advanced
barracud,barracuda,Pez depredador largo con dientes afilados,Long predatory fish with sharp teeth,marinos,advanced
mejillon,mussel,Molusco oscuro que se pega a las rocas,Dark mollusk that clings to rocks,marinos,advanced
pirana,piranha,Pez de río con dientes muy afilados,River fish with very sharp teeth,marinos,advanced
caballito,seahorse,Pez diminuto con forma de caballo,Tiny fish shaped like a horse,marinos,advanced
manta,manta,Raya gigante que planea por el océano,Giant ray that glides through the ocean,marinos,advanced
pepino,cucumber,Animal marino blando del fondo del mar,Soft sea animal from the ocean floor,marinos,advanced
nautilo,nautilus,Molusco antiguo con concha en espiral,Ancient mollusk with spiral shell,marinos,advanced
vieira,scallop,Molusco con concha en forma de abanico,Mollusk with a fan-shaped shell,marinos,advanced
bagre,catfish,Pez de río con bigotes largos,River fish with long whiskers,marinos,advanced
pargo,snapper,Pez tropical rojo muy popular en cocina,Red tropical fish popular in cooking,marinos,advanced
colibri,sunbird,Ave diminuta que aletea muy rápido,Tiny bird that flaps its wings very fast,aves,beginner
loro,parrot,Ave tropical que puede hablar,Tropical bird that can talk,aves,beginner
paloma,dove,Ave gris común en las ciudades,Common gray bird in cities,aves,beginner
cotorra,parakeet,Ave verde ruidosa que vive en bandadas,Noisy green bird that lives in flocks,aves,beginner
cisne,swan,Ave blanca elegante que nada en lagos,Elegant white bird that swims in lakes,aves,beginner
pavo,turkey,Ave grande que comemos en fiestas,Large bird we eat at celebrations,aves,beginner
ganso,goose,Ave ruidosa que cuida su territorio,Noisy bird that guards its territory,aves,beginner
canario,canary,Ave pequeña amarilla que canta bonito,Small yellow bird that sings beautifully,aves,beginner
gorrion,sparrow,Ave pequeña marrón muy común,Very common small brown bird,aves,beginner
flamenco,flamingo,Ave rosada que se para en una pata,Pink bird that stands on one leg,aves,beginner
tucan,toucan,Ave tropical con pico enorme y colorido,Tropical bird with huge colorful beak,aves,beginner
condor,condor,Ave enorme que vuela sobre los Andes,Huge bird that flies over the Andes,aves,beginner
pelicano,pelican,Ave con bolsa grande bajo el pico,Bird with a large pouch under its beak,aves,beginner
lechuza,owl,Ave nocturna que caza ratones,Nocturnal bird that hunts mice,aves,advanced
golondri,swallow,Ave migratoria que anuncia la primavera,Migratory bird that announces spring,aves,advanced
perdiz,partridge,Ave de caza que corre por el suelo,Game bird that runs on the ground,aves,advanced
codorniz,quail,Ave pequeña de caza con plumas moteadas,Small game bird with speckled feathers,aves,advanced
garza,heron,Ave alta y delgada que pesca en ríos,Tall slender bird that fishes in rivers,aves,advanced
grulla,crane,Ave grande que migra en formación,Large bird that migrates in formation,aves,advanced
cacatua,cockatoo,Ave blanca con cresta que grita fuerte,White crested bird that screams loudly,aves,advanced
cernical,kestrel,Ave rapaz pequeña que se cierne en el aire,Small bird of prey that hovers in the air,aves,advanced
urraca,magpie,Ave blanca y negra que roba objetos,Black and white bird that steals objects,aves,advanced
buitre,vulture,Ave carroñera que vuela en círculos,Scavenger bird that flies in circles,aves,advanced
mirlo,blackbird,Ave negra con pico amarillo que canta,Black bird with yellow beak that sings,aves,advanced
ruisenor,songbird,Ave famosa por su canto nocturno,Bird famous for its nighttime song,aves,advanced
alondra,lark,Ave que canta mientras vuela alto,Bird that sings while flying high,aves,advanced
martin,fisher,Ave colorida que pesca en picada,Colorful bird that fishes by diving,aves,advanced
guacamay,macaw,Loro grande y colorido de la selva,Large colorful parrot of the jungle,aves,advanced
faisan,pheasant,Ave de caza con plumas muy vistosas,Game bird with very showy feathers,aves,advanced
ibis,ibis,Ave zancuda con pico largo y curvo,Wading bird with a long curved beak,aves,advanced
